Name,Since,Category,Strength,Years,Board,Phone No,Fee,Location,Faculty,Sports,Amenities
Bishop Cotton Boys School,1865,International Schools,6000,LKG - 12,ICSE,tel:+919513238818,220000,"15, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Dr. P. K. Samuel Chairman / N/A,"Archery, Athletics, Basketball, Chess, Cricket, Hockey, Kabaddi, Kho-Kho, Swimming","Transport, Laboratory, Smart Classrooms, Computers Facility"
Cathedral School,1866,Public Schools,,Pre School - 10,ICSE,tel:+918035470244,56000 - 71000,"#38/10, Opp cathedral School, Richmond Rd, Muniswamy Garden, Neelasandra, Bengaluru, Karnataka 560025, India","Dr. Christy Glory Shanthi .Principal / B. Sc, MA, B Ed, PGDCA, MBA, M Phil., Ph.D","Athletics, Basketball, Chess","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Sophia High School,1949,International Schools,,Pre School - 12,ICSE,tel:+918035470244,120000 - 170000,"70, Palace Rd, High Grounds, Bengaluru, Karnataka 560001, India",Sr. Alpana Palatty SND Principal High School / .,"Athletics, Basketball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
CHRIST SCHOOL,1984,Public Schools,,Pre School - 10,CBSE,tel:+918035470244,,"Christ School Road, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",Rev. Fr. Sebastian Elanjickal CMI .Principal / .,"Athletics, Basketball, Football, Throwball, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Chinmaya Vidyalaya,2013,Public Schools,,Pre School - 10,CBSE,tel:+918035470244,51000 - 60000,"Chinmaya Vidyalaya, Chinmaya Vidyalaya, Banashankari 6th Stage 9th Block, Hemmigepura, Karnataka 560060, India",Ms. YAMUNA SURYAPRAKASH .Principal / .,"Athletics, Basketball, Chess, Football, Volleyball","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
Bishop Cotton Girls School,1865,International Schools,7000,LKG - 12,ICSE,tel:+919513238818,92000,"St. Mark's Road, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Dr. Mrs. Lavanya Mithran Principal / M.Sc. B.Ed. Ph.D,"Athletics, Basketball, Carroms, Chess, Cricket, Football, Kabaddi, Kho-Kho, Yoga","Transport, Laboratory, Smart Classrooms, Computers Facility"
Sacred Heart Girls High School,1854,Public Schools,N/A,LKG - 10,ICSE,tel:+919513238818,100000,"25, Museum Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",Sr. Mary Margaret Principal / N/A,"Basketball, Carroms, Chess, Cricket, Football, Hockey, Kabaddi, Lawn Tennis, Tennis, Throwball, Yoga","Transport, Medical Facility, Laboratory, Smart Classrooms, Computers Facility, Library"
GOOD SHEPHERD CONVENT,Day Schools,N/A,-,ICSE,Co-Education,tel:+918035470244,32000 / Annual,"XJ94+W3C, Shubham Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",,,
OXFORD PUBLIC SCHOOL,Day Schools,N/A,Nursery - Class 10,"ICSE, State Board",Co-Education,tel:+918035470244,35200 / Annual,"20/20, 17th A Main, 5th Block, Rajaji Nagar, Bhasyam circle, Behind Saraswati Book Store, 3rd Block, Rajajinagar, Bengaluru, Karnataka 560010, India",,,Transport
VENKAT INTERNATIONAL PUBLIC SCHOOL,1995,Day Schools,1000,LKG - Class 12,CBSE,tel:+918035470244,85000 / Annual,"19 A, K.B. Temple Street, 6th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",,,Transport
MES KISHORE KENDRA,1979,Day Schools,450,Nursery - Class 12,State Board,tel:+918035470244,70000 / Annual,"15th Cross, 10th Main Rd, Maruthi Extension Vinayaka Layout, Malleshwara, Bengaluru, Karnataka 560003, India",,,
National Public School,1959,,1522,Pre School - PRE,CBSE,tel:+918035470244,184500 / Annual,"5th Block,, 1036-A, WOC, 5th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",,,Transport
